idea,sentence
Give balls to children to play so that they won't be stressed with hard life they pass through because games and sports are not very active,We need give balls children play
"For any job advertisements, let every body get full rights of accessing information because if you send people they only tell their friends ",We need for job advertisements let
Tell police to stop charging us money so that one can be released from prison even if he is proved right due to poor people are suffering ,We need tell police stop charging
Train people here in Nyampindu new case loads with concepts of savings so that they can save cash ratios and plan well for future expenses.,We need train people nyampindu new
Advise drunkards in Kahirimbi to stop drinking alcohol to fight GBV in homes because they fight one another after drinking ,We need advise drunkards kahirimbi stop
Provide us with chemicals to spray our houses to kill flea and other dangerous insects  ,We need provide us chemicals spray
Provide motorcycles to us senior four leavers who wishes to do Boda Boda business so that we raise fund to cater for advanced education.,We need provide motorcycles us senior
Visit fields to see exactly people they will be supporting as PSNs for services to be better because those they give work identify the rich,We need visit fields see exactly
"Remind them to advocate for us plastic sheetings, this will enable us cover our roof and we forget spending the whole night standing",We need remind advocate us plastic
Be identifying witnesses for cases of violence secretly to improve on legal services because people fear to talk in public ,We need be identifying witnesses cases
Be guaranteeing people security to report some cases because if the perpetrators get to know they hunt them down,We need be guaranteeing people security
Forcus on villages with many bars to sensitize people to drink responsibly as some drink and forget their responsibilities at home,We need forcus villages many bars
Fighting poverty will contribute much to reduce GBV since some people use other reasons to separate with partners yet the truth is poverty,We need fighting poverty contribute much
Let them resume community awareness sessions so that we can begin from where we had stopped because we miss them ,We need let resume community awareness
"Continue giving capital to support youths so that we can open up projects like stationery shops, livestock rearing to improve  livelihoods.",We need continue giving capital support
Add efforts in fighting violence against children for them to grow up happily because some parents don't feed their children ,We need add efforts fighting violence
Officers should reach in villages and register PSNs to support because when they send other people they register unqualified beneficiaries,We need officers reach villages register
Select 5 business groups from each village to benefit from every slot of capacity building in order to bridge livelihoods development.,We need select 5 business groups
Extend the support of durable crutches to children living with lameness on legs because the wooden made ones do breaks easily ,We need extend support durable crutches
Plan to come and talk to PSNs and listen them they have complaints but it's difficult to tell them to responsible people ,We need plan come talk psns
Distribute plastic sheetings in every six months to enable refugees to live in houses that don't leak because sheetings get old faster,We need distribute plastic sheetings every
Give us drugs that can calm down our situation since we are suffering from complicated diseases and no clear medication for us at all.,We need give us drugs calm
Give orphans enough cash support to help them to buy basic needs because they are suffering in villages ,We need give orphans enough cash
At least be distributing sanitary pads after two months to help women not to suffer during their periods because six months are many,We need at least distributing sanitary
"Be training foster parents before handling children to them, this can minimize poor treatment children face under foster care ",We need be training foster parents
Support community workers with bicycles so that they can be visiting all PSNs because they don't reach to all due to many villages,We need support community workers bicycles
Community members should be identifying PSNs to build houses for because they know real PSNs than community workers,We need community members identifying psns
Remember to renovate houses for PSNs because most of them walls are cracking and they are not able to work on them ,We need remember renovate houses psns
Issue documents to village midwives that allows them to operate so that we are supported while at home than moving to the health centre.,We need issue documents village midwives
Provide enough briquets to PSNs so that they can cook the whole time they will get others due to they get little that can reach to that time,We need provide enough briquets psns
Employ more community workers for every PSN to receive services because one per zone is not enough,We need employ community workers every
Be providing appraisals to volunteers as away to motivate them to work hard and feel valued on commitment they labor to the organization ,We need be providing appraisals volunteers
"As they say, let them follow order of distributing food because if they allow in other people it brings congestion calling police to beat us",We need as say let follow
"Better, continue to visit children fostering parents and listen to them, together we can devise means of doing ourwork without difficulties ",We need better continue visit children
Distribute plastic sheetings to enable us to live in dry houses because when it rains houses get wet due to old plastic sheetings,We need distribute plastic sheetings enable
Be giving us helpline numbers to improve on service delivery because we can be calling them when we don't get services,We need be giving us helpline
Start animal husbandry in schools so that students of the agriculture clubs can learn practical skills and put into projects after school.,We need start animal husbandry schools
"It isn't fair for PSNs cash to be received by rich individuals yet the worst PSNs are suffering with no support, revise the list & add them ",We need it fair psns cash
Give us other drugs to work as painkillers rather  than paracetamol because our bodies are tired of it every time.,We need give us drugs work
Tell health workers to be at the health centre early enough instead of coming late hence making us over wait for them.,We need tell health workers health
Health team should bring nurses in schools so that our children can get immediate attention in case they get sick. ,We need health team bring nurses
Let immunisation be done in our respective zones so that no transport money is wasted while going to access the service.,We need let immunisation done respective
Employ security personels to be night patrolling our village because cases of sorcerers has increased ,We need employ security personels night
Put in more efforts to engage youth in various activities to make them busy. The more they become idle the more early un wanted pregnancies ,We need put efforts engage youth
Bring more nurses in the consultation rooms at the outposts so that we can access services early enough without delays.,We need bring nurses consultation rooms
Employ refugees nurses who can speak our local languages because we don't trust their translators,We need employ refugees nurses speak
Use a good language while communicating to patients at the health centers so that we are not more stressed due to poor language used.,We need use good language communicating
We need mobile clinics in base camp where we can be getting first aid before going to health center,We need we need mobile clinics
Stock all drugs at the health centre so that people are given enough and no issues of being sent to clinics yet no money for it.,We need stock drugs health centre
Employ refugees nurses who can speak our local languages because we don't know their local languages,We need employ refugees nurses speak
Tell them to give birth certificate for our children free of charge because 20000shillings is a lot of money since we don't have jobs. ,We need tell give birth certificate
Providing services free of charge at the health center because we don't have money to pay ,We need providing services free charge
Bring some medical forms so that even us without books can be treated because we are normally asked to go and buy yet no money.,We need bring medical forms even
See people with old plastic sheetings and give them new ones for their houses to look nice because the ones they gave them are old,We need see people old plastic
We need rolls of cotton clothes here at Kasonga youth centre so that we continue with our tailoring work and earn income.,We need we need rolls cotton
Health workers should not prescribe drugs which they well know that isn't available so that we aren't asked to go and buy yet no money.,We need health workers prescribe drugs
Tell midwives to be listening to pregnant mothers before abusing them,We need tell midwives listening pregnant
Be available during weekends so that we are treated instead of spending the day without any medication yet in pain.,We need be available weekends treated
Make follow up on mothers that are HIV positive and pregnant so that they can give birth at the hospital for them to have health babies.,We need make follow mothers hiv
"To avoid child labor, organize parents and take them through acts of child labor, some defend themselves saying that they don't know them  ",We need to avoid child labor
Support lactating mothers with other protein food to eat and develop more milk for babies to grow healthy.,We need support lactating mothers protein
Supply CSB+ once again so that we can feed our children on it in order to gain weight because they have lost it at high level.,We need supply feed children order
Tell them to give us money for medication for us to be buying drugs in clinics because they only give us Paracetamol at health center,We need tell give us money
Sign our letters early enough for going to Mulago for treatment so that we can get medication on time and get better.,We need sign letters early enough
Provide wheelchairs to disabled children so that they can be able to access education and other services.,We need provide wheelchairs disabled children
Tell nurses to be coming early in the morning around 8am so that they can work on patients in order to go home early ,We need tell nurses coming early
Encourage people to stop the use of herbal medicine since some of them do take overdose hence bringing problems to their fellows.,We need encourage people stop use
Construct an orphanage for children being mistreated by foster parents because here they can live peacefully than where they are now,We need construct orphanage children mistreated
Reach on ground and work with community structures to solve problems because people have issues but they lack where to report,We need reach ground work community
Be taking people facing threats from their neighbors and other people to Europe to protect them from being killed or injured by them ,We need be taking people facing
Construct another health center in base camp because one health center is not enough due to the population,We need construct another health center
Add efforts in supporting PSNs with money to help them to buy enough food because they starve most of the times,We need add efforts supporting psns
Schools should reopen because children are getting spoilt due to overstaying in the villages.,We need schools reopen children getting
Make sure that emergency patients are attended to first so that they can go home early and have enough rest after taking drugs.,We need make sure emergency patients
Work with nutrition partners to enroll elderly people in nutrition program such that we could have stronger immunity to sustain our health.,We need work nutrition partners enroll
Always test typhoid malaria once you test the usual one and is not found because we do drink unsafe water that contains germs.,We need always test typhoid malaria
Provide CSB+ for children because they no longer take porridge,We need provide children longer take
Advise them to be giving us more time after delivery so that we have enough bed rest than sending us home quickly yet we are still tired.,We need advise giving us time
Next time distribute food ratio of Ariwa 1 on the same day with other clusters to avoid delays which causes shortages.,We need next time distribute food
"Have talks with children on how to behave, this will abolish heavy punishments to them because children don't listen to parents",We need have talks children behave
Increase on the number of health workers at all outposts so that we can be attended to on time to a avoid over delaying at there.,We need increase number health workers
Construct one more secondary school so that we don't walk long distance since we reach when we are tired. ,We need construct one secondary school
Provide enough drugs because when go there they give us paracetamol only,We need provide enough drugs go
"If they come to donate, let them consider the worst community instead of rich ones. Because rich ones are well off and are not suffering ",We need if come donate let
Continue to distribute maize and beans because we get more comfortably eating them and don't experience issues of diarrhea.,We need continue distribute maize beans
Come and sensitise about GBV in Juru A so that GBV can reduce because they have taken long without coming to teach us,We need come sensitise gbv juru
It would be better if they can provide drugs according the diseases of patients because paracetamol can't malaria ,We need it would better provide
Encourage women to go to the hospital for safe delivery since some of them prefer to do it at home due to fear of being abused by the nurses,We need encourage women go hospital
They should teach us how to manage minor cases as village elders so that we can handle them in absence of our top leaders ,We need they teach us manage
Orphans should be supported with scholastic materials since they can't manage to buy all.,We need orphans supported scholastic materials
Issue enough RDTs to VHTs so that we can be tested first in the villages before being given drugs for better treatment of malaria.,We need issue enough rdts vhts
Employ more nurses at Nakivale health center because nurses are few compared to the patients,We need employ nurses nakivale health
Tell them to keep some masks at the hospital so that they can help us once we forget ours at home instead of chasing us yet we need drugs.,We need tell keep masks hospital
It would be better if they can provide all drugs because paracetamol can't treat all diseases ,We need it would better provide
Construct hospital in Nakivale for us be getting all services within because mbarara hospital is far ,We need construct hospital nakivale us
Deploy volunteers who are healthy to work at the food distribution points to prevent food contamination and spread of diseases.,We need deploy volunteers healthy work
Enough text books should be brought in secondary schools so that students can be revising and be able to pass their exams.,We need enough text books brought
Tell nurses to be welcoming patients because we feel bad when sit for many hours without getting someone to welcome us,We need tell nurses welcoming patients
Make sure that there's enough drugs at the outpost so that we aren't sent to the main hospital where we are charged money for transport.,We need make sure enough drugs
Continue to teach parents with the behaviour of misusing family ration in bars causing hunger at home may be they'll change & be responsible,We need continue teach parents behaviour
Conduct awareness on domestic violence since people are in harvesting season so that those cases can reduce in our communities ,We need conduct awareness domestic violence
Offer free education so that those who can not afford school fees can be able to access it as well.,We need offer free education afford
Give us medication according to our explanation than treating us the way you want yet we are seriously in a lot of pain.,We need give us medication according
Supply enough drugs at the hospital so that we can have full dose than getting half which makes us sick always.,We need supply enough drugs hospital
Make guidance and counseling session regular like every after two months so that we can keep reminded. When they to come back we forget ,We need make guidance counseling session
Officers should be bringing original lists when distributing support to PSNs for all PSNs to benefit because officers are not corrupt ,We need officers bringing original lists
Increase the number of benches at food distribution points so that we could sit on them while waiting to receive food radio.,We need increase number benches food
Provide grinded flour instead of maize to make it easier to prepare meals because we sometimes skip meals due to lack of money for grinding.,We need provide grinded flour instead
Increase food ratio of PSNs to 18 kilograms per person per month since we are unable to get any additional food on our own due to no ability,We need increase food ratio psns
Install metallic dust bins at food distribution points to keep rubbish in one place and prevent contamination.,We need install metallic dust bins
Never delay to distribute food ratio in order to prevent shortage so that people eat daily to avoid malnutrition.,We need never delay distribute food
Upgrade another health in zone 5A to also start admitting patients so that we don't crowd paluda health centre.,We need upgrade another health zone
Organise for a meeting with us child protection committee so that we can be updated on the new program regarding village sensitisations.,We need organise meeting us child
"Bring enough malaria, typhoid and HIV testing kids for us youth to use.",We need bring enough malaria typhoid
Conduct awareness on laws of Uganda to create peaceful coexistence here in Kyebitaka since there is high rate of theft.,We need conduct awareness laws uganda
"Each zone could be having their own distribution point to reduce distance for pregnant mothers, old age groups and child headed households.",We need each zone could distribution
Encourage people to construct latrines and avoid open defecation which can lead to diseases.,We need encourage people construct latrines
There could be daily attendants at protection desks so that we can easily find them and explain our issues than moving to Kasonga office.,We need there could daily attendants
Bring new election of leaders so that we can vote for a good leader who doesn't involve in tribalism during land issues here in Musisa B.,We need bring new election leaders
Visit children who live with elderly people with clothes because the old parents cannot even work to support them with basic needs.,We need visit children live elderly
Get more ambulances to serve us in the settlement since the population has increased as well.,We need get ambulances serve us
Be guiding us to offices that can support us instead of offices that will not help us because we waste our time and energy for nothing  ,We need be guiding us offices
Give ration cards to people without them so that they can be able to access services like others ,We need give ration cards people
Distribute firewood monthly to households so that girls won't go to the hills of lake Albert which is a dangerous place with wild lives.,We need distribute firewood monthly households
Generally increase on number of people that are being resettled per year this can give us an opportunity of accessing this service  ,We need generally increase number people
Advocate for opening of schools. Children be busy and have no time to misbehave like they are doing at home now  ,We need advocate opening schools children
Begin renovation of PSNs houses so that walls may not fall down completely because if it continue to rain they will fall ,We need begin renovation psns houses
Stop people digging valleys to stop so that may not be suffering fighting bahima who chase us from hills telling us to graze from home ,We need stop people digging valleys
Understand that some people have diseases that need special meals by supporting them with cash to buy such specials meals for us to improve,We need understand people diseases need
New tents would be given to us here in Nyampindu so that we can renovate our shelters since our roofings have leakages.,We need new tents would given
Inform security committee to avoid ordering youths to beat thieves brutally because it causes long term weaknesses on their bodies.,We need inform security committee avoid
Fairly put all PSNs of Rubondo on same amount of cash because its un fair for people facing same problems to receive different cash amount ,We need fairly put psns rubondo
Provide information regarding resettlement of other nationalities so that we stay with hope and keep focusing on our dreams.,We need provide information regarding resettlement
New plastic sheetings should be given to those without them so that they can cover their houses due to it's soon going to rain ,We need new plastic sheetings given
Be listening to both men and women with GBV cases to solve cases well because most of the times women are valued compared to men,We need be listening men women
"Organize trainings with offer CPCs, community workers and CAs teaching them how better they can serve people better for improved services",We need organize trainings offer cpcs
"All refugees are equal, support old case PSNs by renovating their houses because houses they built some years back are in bad condition",We need all refugees equal support
Start a feeding programme for the admitted patients so that they don't go hungry since some have noe to bring food for them.,We need start feeding programme admitted
Train youth on handwork to prevent them from loitering in villages hence reducing on theft and drug abuse in communities at large,We need train youth handwork prevent
Be providing feedback on GBV cases handle in homes to make survivors happy instead of calling people at offices and they don't work for them,We need be providing feedback gbv
Give clothes to old people when they come to office since they have no external support so that they can buy with cloths to wear.,We need give clothes old people
Reduce on bribes in security departments so that everyone can receive services accordingly because they don't apply laws when solving cases,We need reduce bribes security departments
Provide most important items needed to care for foster children to their guardians because some are not able to buy all what children want ,We need provide important items needed
"To reduce bribes against us, teach all leaders and staff against it because they are doing it seriously and no body cares about us refugees ",We need to reduce bribes us
There should be organizations to advise couples on how to live together peacefully to reduce on family conflicts because they are many ,We need there organizations advise couples
"Since being beaten by police is not a solution to COVID-19, they should increase doctors instead to completely put to an end this sitiuation",We need since beaten police solution
Increase budget for supporting PSNs because they're many compared to available support and therefore few are supported and others are not,We need increase budget supporting psns
Sensitize community structures to wake and fight bribes because it limits the poor from accessing their services ,We need sensitize community structures wake
Reduce on stress for foster parents by supporting orphans with clothes because foster parents face challenges to buy clothes for them,We need reduce stress foster parents
Resettle children who lost their parents (Orphans) to third world countries so that they can get proper care and education.,We need resettle children lost parents
Teach new arrival to stop stealing the neighboring communities because it can create poor relation between us and them which is not good  ,We need teach new arrival stop
Multiply force in conducting GBV awareness because cases have increased because they come once in a while and gather only few people ,We need multiply force conducting gbv
Teach people how to make modern bee hives so that we can develop our bee keeping business because it has declined due to use of local hives.,We need teach people make modern
All PSNs should be given money without putting them in categories to help all to receive that help because old cases don't benefit ,We need all psns given money
SGBV staff should be directed by RWCs t homes with GBV cases to talk to them instead of calling large number of people that isn't allowed,We need sgbv staff directed rwcs
Bring good medication that works very fast to cure our sicknesses other than those that we take for many days and they don't work.,We need bring good medication works
Give jobs to our husbands so that they can earn and manage to support their families since many violence cases are due to unemployment.,We need give jobs husbands earn
Rerun rewarding beget mothers for improvement of customer care,We need rerun rewarding beget mothers
Extend money services to all PSNs to benefit because they come and register few people hence leading to suffering of unsupported ones,We need extend money services psns
"Train foster parents how to care for their children, because some of them are violating their rights by giving heavy works and punishments ",We need train foster parents care
Increase on the number of groups that is given livelihood support so that it can at least be fair amongst us than giving a few.,We need increase number groups given
When we tell midwife that we have hypertension better to wait for us at least 2 months of giving birth so we can use  family planning method,We need when tell midwife hypertension
Health center should avail at least two hand washing facilities in maternity service so that we can wash hands anytime ,We need health center avail least
Solve cases for free mostly at police to promote peace because they ask for money yet we are poor refugees,We need solve cases free mostly
Schedule a nurse who can keep serving us during lunch time instead of keep sitting at consultation waiting area till 2:00 pm,We need schedule nurse keep serving
Teach us how to do business with the small cash so that we can develop and earn income to sustain us in daily life and our families.,We need teach us business small
"We who have twins, midwife wouldn't push us to use family planning to avoid having lack of breast milk",We need we twins midwife would
Stop charging us money to pay so that we can be released from prisons because most of us being charged of nothing ,We need stop charging us money
Provide us with oil that we can pour on the Swamp water or stagnant water near our homes to stop mosquitoes from multiplying again.,We need provide us oil pour
Refreshment would be given to us Incentive workers when we are in the field to keep us hydrated because we work for long hours in a day.,We need refreshment would given us
Avail electricity where vaccination take place so air condition can be turned on when it is hot,We need avail electricity vaccination take
Provide soap to orphans monthly to make their life easy because they get soap after a long period when they are already stressed ,We need provide soap orphans monthly
Transport PSNs back home because after accessing services it's hard for us to move since there is always sunshine. ,We need transport psns back home
Employ some incentive workers on the side of livelihood sector so that they can be monitoring all the projects and report to officer.,We need employ incentive workers side
Spray all the houses in the settlement to kill the mosquitoes and reduces the cases of malaria,We need spray houses settlement kill
For patients who spend more than one year in IPD better to give him or her a medical reports so that they might get further treatment,We need for patients spend one
Advise police to stop coming beating people before telling them what to do because we're being beaten without information on what's going on,We need advise police stop coming
Teach mothers who give birth by caesarian how to wear to avoid them having infection ,We need teach mothers give birth
"As we have many patients nowadays, better to avail more bedcovers and bedsheets as some patients are theirs which isn't pretty good",We need as many patients nowadays
"Better they start to be supporting all PSNs with money, this can help them to develop because they can buy animals and rear",We need better start supporting psns
Support youth with talents by helping them to search for market outside the settlement so that we can earn some money out of our talents.,We need support youth talents helping
"On resettlement cases, don't be selective  due to we all have sensitive cases but only Congolese & Somalis are highly considered than others",We need on resettlement cases selective
Distribute CSB+ to children remained so that  our children can take it and don't suffer from kwashiorkor.,We need distribute children remained children
It's good if wash sector bring something remove waste from the full latrines in order to reuse it back soon. ,We need it good wash sector
Advice some mothers to bring handkerchief while having flu so they can use it instead of us their hands for more hygiene,We need advice mothers bring handkerchief
Increase on donations for orphans in order for them to be receiving enough NFIs mostly blankets and mats because they are not enough,We need increase donations orphans order
Make it clear to all refugees on which kind of livelihood support you offer so that we can't have higher expectations on you. ,We need make clear refugees kind
Nurses should start providing service at 8:00 am instead of consulting us at 10:00 am because we delay to do our daily activities,We need nurses start providing service
"Support us "" I am Still Alive Women Group"" with ox for ploughing because we cannot manage to dig using hoes.",We need support us i still
Install hand washing facilities at public areas and encourage people to sanitize hands regularly to reduce it covid-19. ,We need install hand washing facilities
Look how patients with emergency issues might get quick service instead of spending much time in the waiting hall,We need look patients emergency issues
Child protection should advocate for free educating so that parents can use money they pay at school to buy clothes hence real protection,We need child protection advocate free
As the hall is hot and we have sit many hours better to put clean water at vaccination service because we miss where to find it,We need as hall hot sit
Fix metallic frames around the solar panels to make them heavier such that they couldn't be blown off from the roofs by heavy wind.,We need fix metallic frames around
Put up a woman development center in every zone so that we can have where to do our handcraft from and display them to motivate others.,We need put woman development center
People with complicated diseases should be taken to other countries that can manage such kind of diseases.,We need people complicated diseases taken
In charge of refugees should recruit many lawyers who will be dealing with refugee cases because available ones are not enough,We need in charge refugees recruit
"In order to serve the awaiting patients, nurses should reduce frequent movements around because they let the awaiting patients feel uncared.",We need in order serve awaiting
Mothers who give birth by caesarian their children would be vaccinated before others to avoid them sitting many hours,We need mothers give birth caesarian
Run consultation activities at 8:00am rather than running it at 9:30for the sake of helping us in getting service early and not feel annoyed,We need run consultation activities rather
Put much more efforts on time so that we can start getting service early at least from 8:00 am instead of getting it at 8:45 am,We need put much efforts time
Bring vehicles at the vocational training school so that we can practice driving than studying only theory yet we need Practical.,We need bring vehicles vocational training
Immunization service should start running at 8:00 am rather than getting service around 9:00 am yet we have many duties at home,We need immunization service start running
Promote children's rights by teaching foster parents on how to treat children because some give them heavy work and others beat them heavily,We need promote children rights teaching
Implement disposal site to collect garbages that we collected our environment because poor hygiene can cause diseases.,We need implement disposal site collect
VHTs should be equipped with medical knowledge so that they don't give us over dosages of treatment. ,We need vhts equipped medical knowledge
Our health center would have a doctor who can treats patients in the weekends instead of getting treatment from Mondays up to Fridays only,We need our health center would
"Resume food, cash and soap distribution village to village in order to limit transport cost.",We need resume food cash soap
"Old cases have old plastic sheetings, if possible give us new sheetings to thatch houses because many of us have leaking houses",We need old cases old plastic
More trainings on how to make both liquid and bar soap should be done because we need to be equipped with different skills for survival. ,We need more trainings make liquid
"Notebooks should be provided in the afternoon as well as in the morning, so that we might get full treatment even in the afternoon",We need notebooks provided afternoon well
"Because we spend a lot time in the waiting hall during distribution of token numbers, health center would construct additional consultation ",We need because spend lot time
They should find ways to provide laboratory results faster for us to not wait for them for a long time because of their delay.,We need they find ways provide
Be chairing meetings with foster parents to teach and sensitize them how to care for children some of them mistreat their children ,We need be chairing meetings foster
Provide nutrients biscuits to malnourished children to their nutritional status to promote their health,We need provide nutrients biscuits malnourished
Alight would support in doing advocacy to other organizations so that boarding students might get treatment to the nearest health centers,We need alight would support advocacy
See how they can support all PSNs with money for livelihood because they left out vulnerable people and gave money to those who are rich ,We need see support psns money
Provide extra 10 days of power after the units are used up such that we top up the figure to repay because it's currently hard to get money.,We need provide extra 10 days
Better  to leave a notice on the door of a service point to let us know when services will be resumed because it can be helpful.,We need better leave notice door
Mothers with chronical diseases would be well followed during their pregnant period to avoid their babies born with any of it,We need mothers chronical diseases would
Increase on money ratio since it's the one we use to buy drugs since it's ever out of stock.,We need increase money ratio since
Archivist should be available on Sundays so that patients we can get notebooks and get treatment as we can't get any support without them,We need archivist available sundays patients
Extend water point to kashojwa B because one water point in Gambella community is not enough,We need extend water point kashojwa
"Treat patients with courage will contribute to the increase of better service, and it'll stop the spread of corona virus in this environment",We need treat patients courage contribute
"A nurse should serve one service point, because we get late services when he/she is serving more than one department",We need a nurse serve one
Avail enough mattress in new maternity rooms so that all beds might have them instead of having beds without mattress,We need avail enough mattress new
Increase on water pressure at Somali water point for us be fetching quickly,We need increase water pressure somali
Construct more wards at Bujubuli health center since admitted patients are always many.,We need construct wards bujubuli health
Help single mothers with some business cash so that we are able to rise school fees for our children.,We need help single mothers business
Mother who loose much blood while giving birth would be well followed to avoid them facing anaemia while feeding,We need mother loose much blood
Three nurses in the night duties will support patients to get great service as one nurse can't treat outpatient and inpatients at once,We need three nurses night duties
Extend water point to Nyarugugu C for us be fetching water everyday,We need extend water point nyarugugu
Tell vehicle owners that comes in the camp to increase on the price of maize because it is very low yet we need to earn more income.,We need tell vehicle owners comes
Better to enlarge this health center's consultation rooms so that we might get quick service and not spend much time at this health center,We need better enlarge health center
"In case we have three nurses in consultation rooms we get better service,, health center would keep scheduling them in three rooms everyday",We need in case three nurses
"For us to proceed with other services, laboratory results should be provided as fast as possible because they let us spend much time here.",We need for us proceed services
Extend the service merging children to our ration cards in Rubondo again because last time there those who missed it ,We need extend service merging children
"During distribution of patient's notebooks, Archivist should stop putting them down in case we are not available due to different reasons",We need during distribution patient notebooks
Be sending clean water for us get water to drink ,We need be sending clean water
"For us to not feel bored in waiting hall, alight would support us in switching on television so that we might watch it ",We need for us feel bored
Midwives should care about mother's in labor so that we can deliver well our babies instead of harassing us. ,We need midwives care mother labor
Add more 6 water taps because 6 are not enough since we are many ,We need add 6 water taps
In charge of security should handle conflicts between cattle keepers and those who grow crops in Kyeible B because they are bad,We need in charge security handle
Vaccination would start early so we beget mothers can't face much hunger because we wait for long,We need vaccination would start early
Waiting hall should have a person who can keep briefing patients to apply social distancing and wear facemasks well in this pandemic ,We need waiting hall person keep
It would be better if they can provide free of charge because we don't have money to pay ,We need it would better provide
Conduct hygiene promotion and disease prevention awareness sections in order we make proper hygiene improvement,We need conduct hygiene promotion disease
Transfers should be given on time in case patients are suffering too much instead of keep trying all kind of missing medicines,We need transfers given time case
Provide water guard to treat water we fetch from swamp ,We need provide water guard treat
Visit orphans and advise foster parents to care for them properly because they don't care them like they do to their biological children ,We need visit orphans advise foster
Extend water point Kigali in arrivals because they settled us but we don't have water to use ,We need extend water point kigali
"For the sake of reducing congestions of patients in health center's waiting area in this corona's period, there are should be 3 consultants",We need for sake reducing congestions
For husbands who are not agree for us to use FP method even condom better to teach them how to do pull out method so they can be convinced,We need for husbands agree us
